downloaded_utc,layer_title,layer_id,feature_object_id,feature_global_id,geometry_x,geometry_y,attachment_id,attachment_global_id,attachment_name,saved_filename,saved_path,attachment_content_type,download_status,error_message,ObjectID,GlobalID,Group ID,Group Name,Audience,Site Name,Sample Date,Sample Time,Sample ID,Total number of participants,Freshwater body type,What type of Freshwater Body is this?,What is the main land use within 50m?,"You selected other, what is the main land use?",What is the main bank vegetation? (select all that apply),"You selected other, what is the main bank vegetation?",Vegetation cover in/on the water (%),River water-crowfoot (m2),Floating water-plantain (m2),Australian swamp stonecrop (m2),Swamp crassula (m2),Floating pennywort (m2),Himalayan balsam (m2),Invasive species (select all that apply and describe the extent in m3 in the Notes section),Other Invasive species,Is there any of the following on the water surface?,Which of these best describes the dominant form of algae present?,Can you see any litter (including litter caught in vegetation)?,Which of the following sources of plastic pollution can you see?,Are there any pollution sources in the immediate surroundings? (select all that apply),Please describe the other pollution sources,Can you see any of the following water uses right now? (select all that apply),Please describe any other water uses,What aquatic life is there evidence of? (select all that apply),Please describe any other evidence of aquatic life,Has there been any rain during the last 24 hours?,Sample bottle number,Estimate the water flow,Estimate the water level,Estimate the waterway depth (m),Estimate the waterway width (m),Estimate the waterway width (by measuring the widest bank distance at your current location) (m),Water velocity (m/s),Nitrate (mg/L),"If Nitrate >10 mg/L, please enter result",Phosphate (mg/L),Alkalinity,Ammonia,Ammonium (mg/L),Arsenic,Biochemical Oxygen Demand (BOD),Chemical Oxygen Demand (COD),Chlorophyll-a (µg/L),Chromium (mg/L),Conductivity (µS cm-1) Europe,Dissolved oxygen (%),Dissolved oxygen (mg/L),Hardness,Lead (mg/L),Nitrates,Nitrite,Orthophosphates (mg/L),pH,Potassium,Salinity (ppt),Sediment organic matter (%),Total dissolved solids (mg/L),Tryptophan (ppb),Turbidity (NTU),Water temperature (°C),Water quality - Secchi Tube (Turbidity),Estimate the water colour,"You selected other, enter the colour",Anisoptera (Dragonflies),Baetidae (Mayflies - Olives / minnows),Chironomidae (Non-biting midges),Decapoda (Crabs and shrimps),Diptera (True flies),Ephemerellidae (Mayflies - Blue-winged olive),Ephemeridae (Mayflies - Burrowers),Ephemeroptera (Mayflies exc. Baetidae),Gammaridae (Freshwater shrimps),Gastropoda (Snails),Hemiptera & Coleoptera (Bugs and beetles),Heptageniidae (Mayflies - Flat-bodied stone clinger),Hirudinea (Leeches),Odonata (Dragonflies & Damselflies),Oligochaeta (Worms),Plecoptera (Stoneflies),Simuliidae (Blackflies),Trichoptera (Caddisflies - Cased),Trichoptera (Caddisflies - Caseless),Tricladida (Flatworms),Zygoptera (Damselflies),"Dumping activities (appliances, car parts, tyres, building material)","Medical/personal hygiene (condoms, diapers, syringes, tampons/tampon applicators)","Other debris/Items of local concern (discarded food, firework debris, drug paraphernalia, small plastic debris)","Outdoor activities (bait containers, fishing lines, fishing lures, hunting gear)","Shoreline and recreational activities (bags, beverage bottles/cans, 6-pack holders)","Smoking-related activities (cigarettes/cigarette filters, lighters, tobacco wrappers)",What was the most peculiar object found?,Rain events sampling day,What are the atmospheric conditions?,What is the air temperature?,What are the wind conditions?,Total coliform bacteria count (red colonies at 24 hrs),E. coli bacteria count (blue colonies at 48hrs),E. coli sample ID,Faecal coliforms,Photograph of plate,Phytoplankton sample,Sample bottle number.1,Odour,Taste,Borehole/well flowrate,Microplastics sample ID,surveylang,feedback_eng,feedback_core,feedback_swahili,Your results:,-,CreationDate,EditDate,notes,Submitted Date,sort_order_nitrates,sort_order_phosphates,sort_order_turbidity,Feedback Rating,Country,feedback_score,County,RBD_NAME,MNCAT_NAME,Nitrate (mg/L) MID,Phosphate (mg/L) MID,Photo URL,x,y,image_path,local_image_path,image_exists,binary_label,binary_label_name,image_readable,image_error,split
2025-11-26T17:48:11Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,12,f1a757f1-0d0d-4dc5-943d-d2c03e1ba78a,-4.011571666666667,52.43478166666667,6,120e143f-b55e-4c10-aced-8b8f36ab4561,photo-20240525-180858.jpg,Feature_12_Attachment_6_photo-20240525-180858.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_12_Attachment_6_photo-20240525-180858.jpg,image/jpeg,success,,335462,f1a757f1-0d0d-4dc5-943d-d2c03e1ba78a,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),Gogerddan woods,5/25/2024 11:00:00 AM,19:08,,4,River,,Forest,,Trees_shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5-1,,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English(en),Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations are low. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,7/11/2024 9:34:01 AM,7/11/2024 9:34:01 AM,,5/25/2024 6:20:57 PM,3,1,0,Good,Wales,1,Dyfed,Western Wales,Teifi and North Ceredigion,0.75,0.01,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/12/attachments/6,-4.01157166666667,52.4347816666667,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_12_Attachment_6_photo-20240525-180858.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_12_Attachment_6_photo-20240525-180858.jpg,True,0,Acceptable,True,,val
2025-11-26T17:48:17Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,13,3ba0caef-1459-47ca-bcff-bb6a8b253ca4,-1.997459,53.932339,7,01b85181-5e16-4bce-8ec1-864890e0eee6,photo-20240526-115416.jpg,Feature_13_Attachment_7_photo-20240526-115416.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_13_Attachment_7_photo-20240526-115416.jpg,image/jpeg,success,,322633,3ba0caef-1459-47ca-bcff-bb6a8b253ca4,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),"Middle Beck, Bradley.",5/26/2024 11:00:00 AM,12:39,,1,Stream,,Rural_residential,,"Grass_small_plants,Trees_shrubs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,,0.05-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a moderate ecological status. Moderately elevated nitrate concentrations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,No fish sighted but birds flying up and down.,5/26/2024 12:07:47 PM,4,3,0,Moderate,England,2,North Yorkshire,Humber,Aire and Calder,1.5,0.075,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/13/attachments/7,-1.997459,53.932339,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_13_Attachment_7_photo-20240526-115416.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_13_Attachment_7_photo-20240526-115416.jpg,True,1,Unacceptable,True,,train
2025-11-26T17:48:23Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,15,9ab3ef19-b92e-495d-8330-e5cab4f52139,-0.4901532528900637,51.39851738608611,8,93b0b358-2840-496f-9c50-beb08e550091,photo-20240531-072047.jpg,Feature_15_Attachment_8_photo-20240531-072047.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_15_Attachment_8_photo-20240531-072047.jpg,image/jpeg,success,,322635,9ab3ef19-b92e-495d-8330-e5cab4f52139,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),Laleham park,5/31/2024 11:00:00 AM,07:19,,8,River,,Urban_green_space,,Trees_shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-10,,0.1-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a poor ecological status. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,,5/31/2024 6:22:56 AM,6,4,0,Poor,England,3,Surrey,Thames,Maidenhead and Sunbury,7.5,0.15,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/15/attachments/8,-0.490153252890064,51.3985173860861,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_15_Attachment_8_photo-20240531-072047.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_15_Attachment_8_photo-20240531-072047.jpg,True,1,Unacceptable,True,,train
2025-11-26T17:48:29Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,16,7065d44e-868d-41a8-bc29-3e380d44a284,-1.705773428590782,53.34146896973077,9,967fdeb6-6016-43ed-954a-e2778dd0fe31,photo-20240531-184342.jpg,Feature_16_Attachment_9_photo-20240531-184342.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_16_Attachment_9_photo-20240531-184342.jpg,image/jpeg,success,,322636,7065d44e-868d-41a8-bc29-3e380d44a284,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),Lumbley Pool,5/31/2024 11:00:00 AM,19:39,,1,River,,Livestock,,"Trees_shrubs,Grass_small_plants",,,,,,,,,,,Foam,,,,,,,,,,,,,,,,,,0.5-1,,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations are low. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,,5/31/2024 6:55:23 PM,3,1,0,Good,England,1,Derbyshire,Humber,Derwent Derbyshire,0.75,0.01,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/16/attachments/9,-1.70577342859078,53.3414689697308,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_16_Attachment_9_photo-20240531-184342.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_16_Attachment_9_photo-20240531-184342.jpg,True,0,Acceptable,True,,train
2025-11-26T17:48:35Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,17,ece94aea-b3a2-4c72-a1b0-66b329185eb8,-1.633727985146777,53.79712306784018,10,e895f878-0577-40ae-9a49-ecd991ffcf85,photo-20240601-110123.jpg,Feature_17_Attachment_10_photo-20240601-110123.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_17_Attachment_10_photo-20240601-110123.jpg,image/jpeg,success,,335463,ece94aea-b3a2-4c72-a1b0-66b329185eb8,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),Farnley Beck,6/1/2024 11:00:00 AM,10:40,,2,River,,Urban_green_space,,"Trees_shrubs,Grass_small_plants,Concrete_impermeable_surface",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-5,,0.02-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English(en),Your dataset indicates that this waterbody has a poor ecological status. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,7/11/2024 9:34:37 AM,7/11/2024 9:34:37 AM,"Nature area to left, mixed use urban greenspace to the right. Seen mink in the past year.",6/1/2024 10:05:44 AM,5,2,0,Poor,England,3,West Yorkshire,Humber,Aire and Calder,3.5,0.035,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/17/attachments/10,-1.63372798514678,53.7971230678402,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_17_Attachment_10_photo-20240601-110123.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_17_Attachment_10_photo-20240601-110123.jpg,True,1,Unacceptable,True,,train
2025-11-26T17:48:41Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,18,fcc0600f-765f-4077-98d6-4b7e63b8fc2e,-0.4669936062251723,51.38253924669887,11,0935c3a3-261a-42ce-a1bc-2c7aa8c63d7a,photo-20240602-081305.jpg,Feature_18_Attachment_11_photo-20240602-081305.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_18_Attachment_11_photo-20240602-081305.jpg,image/jpeg,success,,322637,fcc0600f-765f-4077-98d6-4b7e63b8fc2e,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),"River Thames, Shepperton",6/2/2024 11:00:00 AM,09:10,,4,River,,Urban_residential,,Trees_shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-5,,0.05-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a poor ecological status. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,Ducks and Geese,6/2/2024 8:27:05 AM,5,3,0,Poor,England,3,Surrey,Thames,Maidenhead and Sunbury,3.5,0.075,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/18/attachments/11,-0.466993606225172,51.3825392466989,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_18_Attachment_11_photo-20240602-081305.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_18_Attachment_11_photo-20240602-081305.jpg,True,1,Unacceptable,True,,train
2025-11-26T17:48:46Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,19,dc238938-2ffb-4af0-b2b6-615f568c258e,-0.2819472644998631,50.8342081092046,12,89578788-5631-46db-a800-234b80f9e849,photo-20240602-084050.jpg,Feature_19_Attachment_12_photo-20240602-084050.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_19_Attachment_12_photo-20240602-084050.jpg,image/jpeg,success,,322638,dc238938-2ffb-4af0-b2b6-615f568c258e,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),River Adur Estuary ,6/2/2024 11:00:00 AM,09:42,,2,River,,Urban_residential,,Grass_small_plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.2,,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations are low. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,No aquatic animals observed. ,6/2/2024 8:53:20 AM,1,1,0,Good,England,1,West Sussex,South East,South East TraC,0.1,0.01,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/19/attachments/12,-0.281947264499863,50.8342081092046,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_19_Attachment_12_photo-20240602-084050.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_19_Attachment_12_photo-20240602-084050.jpg,True,0,Acceptable,True,,train
2025-11-26T17:48:52Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,20,b72757cb-75d0-4cc8-859c-bd4c90333f70,-0.4165607983036282,51.45354346830845,13,2f77622b-c222-4bbf-ad95-07e74572ed3f,photo-20240602-095216.jpg,Feature_20_Attachment_13_photo-20240602-095216.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_20_Attachment_13_photo-20240602-095216.jpg,image/jpeg,success,,322639,b72757cb-75d0-4cc8-859c-bd4c90333f70,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),Longford River ,6/2/2024 11:00:00 AM,10:34,,2,River,,Urban_residential,,Grass_small_plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,,0.1-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a moderate ecological status. Both nitrate and phosphate were moderately elevated. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,Longford river is man made,6/2/2024 10:01:48 AM,4,4,0,Moderate,England,2,Greater London,Thames,London,1.5,0.15,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/20/attachments/13,-0.416560798303628,51.4535434683085,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_20_Attachment_13_photo-20240602-095216.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_20_Attachment_13_photo-20240602-095216.jpg,True,1,Unacceptable,True,,train
2025-11-26T17:48:59Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,21,3155ba9c-4330-4370-84b4-9fe9ceb0ffa4,-3.272136546659528,51.03657547944407,14,a4b2861f-59ff-4006-9473-a8f7af890fea,photo-20240602-105656.jpg,Feature_21_Attachment_14_photo-20240602-105656.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_21_Attachment_14_photo-20240602-105656.jpg,image/jpeg,success,,322640,3155ba9c-4330-4370-84b4-9fe9ceb0ffa4,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),Hillfarrance brook,6/2/2024 11:00:00 AM,11:54,,2,Stream,,Rural_residential,,Trees_shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-5,,0.05-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a poor ecological status. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,"Water voles, geese,heron",6/2/2024 11:12:15 AM,5,3,0,Poor,England,3,Somerset,South West,Somerset South and West,3.5,0.075,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/21/attachments/14,-3.27213654665953,51.0365754794441,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_21_Attachment_14_photo-20240602-105656.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_21_Attachment_14_photo-20240602-105656.jpg,True,1,Unacceptable,True,,train
2025-11-26T17:49:05Z,Great UK WaterBlitz,735751c713b3460aa8041d47f55070d7,22,57810c15-3a4a-45c1-a410-d49dd62c43db,-3.918481,56.164632,15,24654c05-6997-4ba7-b0f0-52808f9def52,photo-20240602-140453.jpg,Feature_22_Attachment_15_photo-20240602-140453.jpg,Downloaded_Photos\Great_UK_WaterBlitz\Feature_22_Attachment_15_photo-20240602-140453.jpg,image/jpeg,success,,322641,57810c15-3a4a-45c1-a410-d49dd62c43db,3c921db106c94bf0862570af11547e39,Great UK WaterBlitz,Public (WaterBlitz),Cocksburn reservoir,5/25/2024 11:00:00 AM,15:00,,1,Lake,,Livestock,,Trees_shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.2,,0.02-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations are low. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,,,,6/10/2024 8:48:33 AM,6/10/2024 8:48:33 AM,,6/2/2024 2:18:58 PM,1,2,0,Good,Scotland,1,Stirling and Falkirk,Scotland,Forth,0.1,0.035,https://services3.arcgis.com/SQtySBftABENTpkx/arcgis/rest/services/Great_UK_WaterBlitz_Public_View_New/FeatureServer/0/22/attachments/15,-3.918481,56.164632,C:/Users/Grace/Desktop/Earthwatch\Great_UK_WaterBlitz\Feature_22_Attachment_15_photo-20240602-140453.jpg,C:\Users\teaching\Downloads\earthwatch-cnn\data\Great_UK_WaterBlitz\Feature_22_Attachment_15_photo-20240602-140453.jpg,True,0,Acceptable,True,,train
