feature,coefficient,question,response,question_short,response_short,abs_coef
"What is the main bank vegetation? (select all that apply)_Grass_small_plants,Other",-1.2374266027437644,What is the main bank vegetation? (select all that apply),"Grass_small_plants,Other",Bank vegetation,"Grass small plants, Other",1.2374266027437644
"What is the main bank vegetation? (select all that apply)_Concrete_impermeable_surface,Other",-1.2273896037732432,What is the main bank vegetation? (select all that apply),"Concrete_impermeable_surface,Other",Bank vegetation,Concrete impermeable surface...,1.2273896037732432
What is the main land use within 50m?_Forest,-0.9596914297646898,What is the main land use within 50m?,Forest,Nearby land use,Forest,0.9596914297646898
Is there any of the following on the water surface?_Foam,-0.953077881976358,Is there any of the following on the water surface?,Foam,Water surface,Foam,0.953077881976358
Freshwater body type_Lake,-0.9011943567324261,Freshwater body type,Lake,Water body,Lake,0.9011943567324261
Freshwater body type_Pond,-0.82851103281038,Freshwater body type,Pond,Water body,Pond,0.82851103281038
"What is the main bank vegetation? (select all that apply)_Trees_shrubs,Bare_soil,Grass_small_plants,Concrete_impermeable_surface",-0.7380350962109631,What is the main bank vegetation? (select all that apply),"Trees_shrubs,Bare_soil,Grass_small_plants,Concrete_impermeable_surface",Bank vegetation,"Trees shrubs, Bare soil, Gras...",0.7380350962109631
Freshwater body type_Ditch,0.8106227314856039,Freshwater body type,Ditch,Water body,Ditch,0.8106227314856039
"What is the main bank vegetation? (select all that apply)_Trees_shrubs,Grass_small_plants,Concrete_impermeable_surface,Bare_soil",0.85030265734353,What is the main bank vegetation? (select all that apply),"Trees_shrubs,Grass_small_plants,Concrete_impermeable_surface,Bare_soil",Bank vegetation,"Trees shrubs, Grass small pla...",0.85030265734353
"What is the main bank vegetation? (select all that apply)_Concrete_impermeable_surface,Grass_small_plants",1.03649085793216,What is the main bank vegetation? (select all that apply),"Concrete_impermeable_surface,Grass_small_plants",Bank vegetation,Concrete impermeable surface...,1.03649085793216
"What is the main bank vegetation? (select all that apply)_Trees_shrubs,Bare_soil,Concrete_impermeable_surface",1.0663471372698439,What is the main bank vegetation? (select all that apply),"Trees_shrubs,Bare_soil,Concrete_impermeable_surface",Bank vegetation,"Trees shrubs, Bare soil, Conc...",1.0663471372698439
"Is there any of the following on the water surface?_Oily_sheen,Slurry",1.265813429663076,Is there any of the following on the water surface?,"Oily_sheen,Slurry",Water surface,"Oily sheen, Slurry",1.265813429663076
